name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Ellen Johnson Sirleaf,{{birth date and age|df=y|1938|10|29}},"[[Monrovia]], Liberia",,,,,,,[[Nobel Peace Prize]] ([[2011 Nobel Peace Prize|2011]]),,"{{ubl|[[Madison Business College]] ([[associate degree|AA]])|[[University of Colorado, Boulder]] ([[Bachelor of Arts|BA]])|[[Harvard University]] ([[Master of Public Administration|MPA]])}}",,,{{marriage|James Sirleaf|1956|1961|end=div}},4,
Rigoberta Menchú,{{Birth date and age|1959|1|9|df=y}},"[[Laj Chimel]], [[Quiché Department|Quiché]], Guatemala",,,,"Activist, politician",,,[[Nobel Peace Prize]] in 1992<br />[[Prince of Asturias Awards]] in 1998<br />[[Order of the Aztec Eagle]] in 2010 }},,,,,{{Marriage|Ángel Canil|1995}},2 (1 deceased),
Leymah Gbowee <!-- do not add image icons such as Nobel Peace Prize; see [[WP:ICON]] -->,{{Birth date and age|df=yes|1972|02|01}},Central [[Liberia]],<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,,[[Liberia]]n,[[Peace activist]],,[[Women of Liberia Mass Action for Peace]] and ''[[Pray the Devil Back to Hell]]'',[[Nobel Peace Prize]] ([[2011 Nobel Peace Prize|2011]]) }},,"AA degree in social work, Mother Patern College of Health Sciences, Monrovia, Liberia; MA in conflict transformation, [[Eastern Mennonite University]], Harrisonburg, Virginia, USA",,,,,
Leyla Zana,{{Birth date and age|1961|5|3|df=yes}},"[[Silvan, Turkey|Silvan]], [[Diyarbakır Province|Diyarbakır]], Turkey",,,,Peace activist,,,,,,,,{{marriage|[[Mehdi Zana]]|1975}},2,
Tawakkol Karman,{{Birth date and age|1979|02|07|df=yes}},"[[Taiz Governorate]], [[Yemen Arab Republic]]",,,Yemeni,Journalist<br>Politician<br>Human rights activist<br>Revolutionary,,,[[Nobel Peace Prize]] ([[2011 Nobel Peace Prize|2011]]),[[University of Massachusetts Lowell]]<ref>{{cite web|title=Tawakkol Karman|url=https://www.uml.edu/commencement/tawakkol-karman.aspx|publisher=University of Massachusetts Lowell|accessdate=27 October 2023}}</ref><br>[[Sanaa University]] }},,,,Mohammed Al-Nehmi,4,Abdulsalam Khaled Karman (Father)<br />Anisah Hussein Abdullah Al Aswadi (Mother)
Nadia Murad,{{birth date and age|1993|03|10|df=y}}<ref>{{cite web|url=https://www.instagram.com/p/Ca7cWA3MCk-/|title=Nadia Murad on Instagram|date=10 March 2022|website=Instagram|access-date=23 April 2022}}</ref>,"[[Kocho, Iraq|Kocho]], [[Sinjar District]], Iraq",,,,,2014–present,Surviving the [[Yazidi genocide]],{{Collapsible list,,,"''[[The Last Girl (memoir)|The Last Girl: My Story of Captivity, and My Fight Against the Islamic State]]'' (2017)",,{{marriage|Abid Shamdeen|2018}},,
Malalai Joya,{{Birth date and age|df=yes|1978|4|25}},"[[Farah Province]], [[Republic of Afghanistan (1973—1978)|Republic of Afghanistan]]",,,,Former politician and author.,,"Criticism of the [[Politics of Afghanistan|Afghan government]] and the presence of [[United States armed forces|US]]-[[NATO]] forces in Afghanistan.<ref name=""hirsi1""/>",,,,,,,,
Shirin Ebadi,"{{birth date and age|1947|6|21|df=y}}<ref name=""O'NeilCity2007"">{{cite book |author=Daniel P. O'Neil |title=Fatima's sword: Everyday female resistance in post-revolutionary Iran |url=https://books.google.com/books?id=e6OACOoqokEC&pg=PA55 |access-date=15 January 2012 |year=2007 |isbn=978-0-549-40947-2 |pages=55–61 }}</ref>","[[Hamadan]], [[Pahlavi Iran|Iran]]",<!--{{death date and age|df=yes|YYYY|MM|DD|YYYY|MM|DD}}-->,,Iranian<ref name=N/>,{{flatlist|{{unbulleted list |Lawyer|judge}}}},,[[Defenders of Human Rights Center]],[[Thorolf Rafto Memorial Prize|Rafto Prize]] (2001)<br />[[Nobel Peace Prize]] (2003)<br />[[Interfaith Center of New York|JPM Interfaith Award]] (2004)<br />[[Legion of Honour]] (2006),"[[University of Tehran]]<ref name=""Kinnear2011"" />",,,,,,
Tansu Çiller,{{birth date and age|1946|5|24|df=y}},"[[Istanbul]], Turkey",,,,,,,,[[Boğaziçi University|Robert College]]<br/>[[University of New Hampshire]]<br />[[University of Connecticut]]<br />[[Yale University]],,,,{{marriage|Özer Uçuran|1963|2024|end=d}},2,
Dalia Grybauskaitė,{{birth date and age|1956|3|1|df=y}},"[[Vilnius]], Lithuanian SSR, Soviet Union (now Lithuania)",,,,,,,,[[Leningrad State University]]<br/>[[Georgetown University]],,,,,,
Kolinda Grabar-Kitarović,{{birth date and age|1968|4|29|df=y}},"[[Rijeka]], [[Socialist Republic of Croatia|SR Croatia]], [[Socialist Federal Republic of Yugoslavia|SFR Yugoslavia]] (modern [[Croatia]])",,,,,,,,,{{plainlist| *[[University of Zagreb]] *[[Diplomatic Academy of Vienna]] *[[George Washington University]]}},,,{{marriage|[[Jakov Kitarović]]|1996}},2,
Atifete Jahjaga,{{birth date and age|1975|4|20|df=y}},"[[Gjakovë]], [[Socialist Republic of Serbia|SR Serbia]], [[Socialist Federal Republic of Yugoslavia|Yugoslavia]]<br>{{small|(now Gjakova, [[Kosovo]])}}",,,,,,,,[[Universiteti i Prishtinës|University of Pristina]]<br>[[University of Leicester]]<br>[[University of Virginia]],,,,"{{marriage|Astrit Kuçi|<!--unknown-->|2018|end=div.}}<ref>{{cite news|url=https://prive.al/prive-zbulon-atifete-jahjaga-drejt-divorcit-mesojini-detajet/|title=Prive zbulon: Atifete Jahjaga drejt divorcit, mësojini detajet!|trans-title=Prive reveals: Atifete Jahjaga towards divorce, learn the details!|language=Albanian|publisher=Prive [[Klan Kosova]]|date=3 February 2018}}</ref> }}",,
Beata Szydło,{{birth date and age|1963|4|15|df=y}},"[[Oświęcim]], Poland",,,,,,,,,[[Jagiellonian University]],,,Edward Szydło,2,
Sviatlana Tsikhanouskaya,{{birth date and age|1982|9|11|df=y}},"[[Mikashevichy]], Brest Oblast, Soviet Union (now Belarus)<!-- DO NOT LINK, see [[MOS:GEOLINK]] for further guidance -->",,,,,,,,,[[Mozyr State Pedagogical University]],,,{{marriage|[[Sergei Tikhanovsky]]|2004}},Ahniya and Karney,
Yulia Tymoshenko,{{birth date and age|1960|11|27|df=y}},"[[Dnipropetrovsk]], [[Ukrainian SSR]], Soviet Union",,,,,,,,{{ubli|[[National Mining University of Ukraine]]|[[Oles Honchar Dnipropetrovsk National University|Dnipropetrovsk National University]]|[[Kyiv National Economic University]]}},,,,{{marriage|[[Oleksandr Tymoshenko]]|1979}},[[Eugenia Tymoshenko]],
Julia Gillard,{{nowrap|{{birth date and age|1961|9|29|df=y}}}},"[[Barry, Vale of Glamorgan|Barry]], Wales",,,,{{hlist|Lawyer|politician}},,,,"{{ubl|[[University of Adelaide]]|[[University of Melbourne]] ([[Bachelor of Arts|BA]], [[Bachelor of Laws|LLB]])}}",{{ubl|[[Mitcham Primary School|Mitcham School]]|[[Unley High School]]}},,,,,
Dame Jacinda Ardern,,,,,,,,,,,,,,,,
The Baroness May of Maidenhead,{{birth date and age|1956|10|1|df=yes}},"[[Eastbourne]], Sussex, England",,,,,,,,"[[St Hugh's College, Oxford]]",[[Wheatley Park School]],,,{{marriage|[[Philip May]]|6 September 1980}},,
Angela Merkel,,,,,,,,,,,,,,,,
The Baroness Thatcher,,,,,,,,,,,,,,,,
